Tuition fees up to date,Age at enrollment,Mother's qualification,Curricular units 1st sem (enrolled),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (grade),target
1,19,38,6,0,14.85714286,Graduate
1,18,1,6,0,11.2,Enrolled
1,20,3,0,0,0.0,Graduate
1,37,37,9,0,11.57142857,Graduate
1,27,37,5,2,12.0,Graduate
1,19,38,6,0,13.2,Graduate
1,22,1,5,0,13.0,Graduate
1,22,2,6,0,12.5,Dropout
1,20,1,6,0,11.75,Graduate
1,19,38,5,1,13.33333333,Graduate
1,18,38,8,0,12.77125,Graduate
1,28,1,7,0,12.3,Enrolled
1,25,3,14,1,13.29166667,Graduate
1,20,1,6,0,12.66666667,Graduate
1,23,19,5,1,11.33333333,Dropout
1,24,1,11,6,12.55555556,Graduate
1,34,1,5,0,14.6,Enrolled
1,27,19,5,0,0.0,Dropout
1,20,19,6,0,0.0,Dropout
1,20,1,2,0,12.83333333,Graduate
1,23,37,9,0,11.7,Graduate
1,19,5,7,0,13.55,Graduate
1,19,19,0,0,0.0,Dropout
1,19,19,6,0,14.6,Graduate
0,19,1,6,0,11.75,Dropout
1,20,19,6,0,15.33333333,Graduate
1,20,19,6,0,12.2,Dropout
1,20,34,6,0,0.0,Dropout
1,24,19,5,0,14.0,Enrolled
1,18,1,7,0,15.075,Graduate
1,18,19,6,0,12.0,Enrolled
0,27,37,0,0,0.0,Dropout
1,20,10,5,0,0.0,Dropout
1,18,37,6,0,11.66666667,Graduate
0,19,1,6,0,10.0,Dropout
1,21,19,5,0,11.4,Graduate
1,19,1,0,0,0.0,Dropout
1,29,1,7,0,11.0,Dropout
1,23,19,8,0,13.22,Graduate
1,18,38,7,0,13.91,Graduate
1,19,37,6,0,14.0,Graduate
1,18,38,6,0,15.5,Graduate
1,19,1,6,0,12.33333333,Graduate
1,20,1,7,0,12.12857143,Graduate
1,40,37,6,0,15.0,Dropout
1,20,19,6,0,10.0,Enrolled
1,19,1,7,0,0.0,Dropout
1,20,1,6,0,12.5,Enrolled
1,27,37,6,0,12.0,Enrolled
1,26,37,5,0,15.6,Graduate
0,32,19,5,0,15.0,Dropout
0,39,37,7,0,10.5,Dropout
1,21,1,5,1,11.25,Graduate
1,20,37,6,0,10.6,Graduate
0,19,37,6,0,0.0,Dropout
1,20,3,7,0,15.0125,Graduate
1,21,38,5,0,0.0,Dropout
1,37,34,6,0,0.0,Dropout
0,28,37,6,0,0.0,Dropout
1,36,1,6,0,16.5,Graduate
0,22,3,5,0,14.0,Enrolled
1,19,38,5,0,11.6,Enrolled
1,33,37,10,0,10.44444444,Enrolled
1,19,3,5,0,12.83333333,Graduate
1,18,3,6,0,11.0,Dropout
1,18,37,6,0,14.28571429,Graduate
0,19,1,6,0,13.125,Dropout
1,18,4,6,0,14.85714286,Graduate
1,19,3,6,0,13.0,Graduate
1,18,2,6,0,13.83333333,Graduate
1,18,37,5,0,11.0,Enrolled
0,20,38,6,0,11.66666667,Dropout
1,21,1,6,0,12.0,Graduate
1,29,6,5,4,0.0,Dropout
1,22,19,6,0,12.5,Graduate
1,19,1,6,0,10.75,Graduate
1,18,19,8,0,13.41428571,Dropout
1,19,19,7,0,15.092,Graduate
1,35,37,5,0,11.85714286,Enrolled
0,23,1,5,0,0.0,Dropout
1,39,37,5,0,12.5,Dropout
1,24,1,5,0,11.0,Enrolled
1,19,1,5,2,13.8,Enrolled
1,18,38,6,0,12.16666667,Graduate
1,24,3,8,0,13.385,Graduate
1,24,1,5,0,0.0,Dropout
1,24,38,10,0,12.55555556,Enrolled
1,24,19,6,0,12.83333333,Graduate
1,32,19,14,0,12.8,Graduate
1,18,1,6,1,11.0,Enrolled
1,23,37,6,0,12.8,Graduate
1,19,19,6,0,13.0,Dropout
1,18,1,6,0,12.5,Enrolled
1,18,1,7,0,13.8875,Graduate
1,26,3,8,0,12.28571429,Graduate
1,22,37,5,0,12.0,Enrolled
1,20,19,5,0,11.6,Dropout
1,18,1,6,0,15.0,Graduate
1,19,1,8,0,12.86,Graduate
1,41,37,5,1,13.0,Enrolled
0,47,37,7,7,0.0,Dropout
1,50,37,11,0,13.57142857,Graduate
1,19,19,8,0,13.15142857,Graduate
1,19,1,6,0,11.77777778,Graduate
1,19,40,12,0,13.58333333,Graduate
1,19,19,5,1,12.4,Graduate
1,19,19,8,0,14.34125,Graduate
1,20,38,6,0,13.5,Graduate
1,19,37,8,0,15.11,Graduate
1,20,38,7,0,12.65125,Graduate
0,18,1,6,0,0.0,Dropout
1,45,37,6,0,11.0,Dropout
0,25,19,6,0,13.75,Dropout
0,37,37,5,0,0.0,Dropout
1,18,34,6,0,0.0,Dropout
0,21,1,6,0,11.33333333,Dropout
1,41,37,12,0,12.7,Graduate
1,18,1,6,0,14.66666667,Graduate
0,19,1,6,0,13.66666667,Graduate
1,20,1,6,0,12.33333333,Graduate
1,19,19,6,0,12.2,Graduate
1,24,19,6,0,13.0,Graduate
1,20,1,6,0,10.4,Enrolled
1,22,3,5,0,0.0,Dropout
1,26,1,5,0,13.66666667,Dropout
1,26,3,6,0,0.0,Dropout
1,18,37,5,0,12.33333333,Enrolled
1,18,1,7,0,13.661,Graduate
1,25,37,6,0,11.75,Dropout
1,21,37,7,0,14.0475,Graduate
1,19,37,7,0,14.44875,Graduate
1,19,3,0,0,0.0,Dropout
1,37,37,8,0,12.16666667,Enrolled
0,21,1,6,0,0.0,Dropout
1,47,37,5,0,12.5,Enrolled
1,30,37,7,0,14.9625,Graduate
1,19,12,6,0,14.375,Graduate
0,18,19,5,0,0.0,Enrolled
0,21,1,0,0,0.0,Dropout
1,20,1,6,0,13.0,Enrolled
1,20,1,7,0,14.8125,Graduate
0,19,1,6,0,0.0,Dropout
1,37,19,11,0,14.75,Graduate
1,18,3,7,0,14.53333333,Graduate
0,33,34,5,0,0.0,Dropout
0,18,38,6,0,12.0,Dropout
1,18,1,5,0,12.6,Graduate
1,19,19,6,0,12.2,Enrolled
1,18,19,6,0,14.16666667,Graduate
1,27,3,2,0,12.5,Enrolled
1,41,37,6,0,12.33333333,Graduate
1,19,3,6,0,12.4,Enrolled
0,22,37,11,0,11.25,Graduate
1,19,1,8,0,13.9475,Graduate
1,27,19,6,0,14.71428571,Graduate
0,26,19,5,0,0.0,Dropout
1,27,3,18,0,12.38461538,Graduate
1,20,3,6,0,0.0,Dropout
1,18,37,6,0,11.25,Graduate
1,20,38,7,0,13.11666667,Graduate
1,27,3,6,0,12.9,Dropout
1,23,4,11,1,14.5,Dropout
1,19,3,6,0,13.25,Enrolled
1,38,34,6,0,0.0,Dropout
1,24,38,7,0,11.7,Graduate
1,35,38,8,1,13.63,Graduate
1,22,19,6,3,12.33333333,Enrolled
0,26,37,5,0,0.0,Dropout
1,19,19,7,0,13.01875,Graduate
1,22,1,6,0,16.0,Graduate
0,27,38,6,0,0.0,Dropout
1,19,4,6,0,12.8,Graduate
0,49,34,5,0,0.0,Dropout
0,29,3,5,4,0.0,Dropout
1,20,1,6,0,12.4,Graduate
1,20,3,5,0,12.6,Enrolled
1,19,19,7,0,14.61666667,Graduate
1,24,19,6,0,11.25,Enrolled
1,19,37,7,0,11.0,Dropout
1,32,37,5,0,12.33333333,Graduate
1,18,1,7,0,12.04166667,Enrolled
1,18,37,7,1,12.51666667,Dropout
1,20,1,5,0,13.2,Graduate
1,31,38,6,0,12.33333333,Graduate
1,19,37,5,0,11.25,Graduate
1,20,3,5,0,13.4,Graduate
1,19,3,7,0,13.7,Enrolled
1,25,2,6,0,16.5,Graduate
1,20,1,6,0,12.16666667,Graduate
1,44,34,6,0,11.0,Graduate
1,18,1,7,0,14.0625,Dropout
1,29,19,8,1,12.25,Dropout
1,20,38,6,0,13.14285714,Graduate
1,35,1,3,0,11.33333333,Enrolled
1,21,38,5,0,13.2,Graduate
1,19,19,6,0,14.5,Graduate
1,18,1,6,0,13.0,Enrolled
1,19,1,6,0,13.5,Graduate
1,24,1,5,0,10.5,Enrolled
1,21,19,6,0,12.6,Graduate
1,18,37,6,0,11.33333333,Graduate
1,20,38,7,0,12.85714286,Graduate
1,21,19,5,0,12.2,Graduate
1,33,37,8,1,10.0,Enrolled
1,21,37,0,0,0.0,Dropout
1,19,38,6,0,12.66666667,Graduate
1,19,37,7,0,13.31375,Graduate
1,18,38,6,0,0.0,Dropout
1,19,12,5,0,0.0,Dropout
1,22,37,7,0,13.9,Graduate
1,41,37,5,0,12.2,Enrolled
1,21,37,5,0,11.8,Graduate
1,20,1,8,0,14.2,Graduate
1,18,38,7,0,14.925,Graduate
0,46,37,6,0,0.0,Dropout
1,19,19,8,0,13.71428571,Graduate
1,34,37,8,0,10.0,Dropout
1,18,1,5,1,13.0,Enrolled
1,19,19,7,0,14.86363636,Graduate
1,19,19,6,0,11.5,Graduate
1,19,37,6,0,11.66666667,Enrolled
1,37,37,5,0,13.33333333,Dropout
0,37,37,5,0,0.0,Dropout
1,18,19,5,2,12.4,Enrolled
1,20,1,5,0,0.0,Dropout
1,33,37,6,0,11.0,Graduate
1,18,38,6,0,12.16666667,Graduate
1,25,2,7,0,11.66666667,Enrolled
1,39,37,5,0,11.66666667,Graduate
1,19,3,7,0,16.05,Graduate
1,30,37,5,0,11.6,Graduate
1,37,37,6,0,11.0,Graduate
1,19,1,7,0,12.24285714,Dropout
1,18,3,0,0,0.0,Enrolled
1,19,1,5,0,13.5,Graduate
0,24,1,6,0,10.33333333,Dropout
1,19,38,6,0,0.0,Dropout
1,18,19,7,0,15.68333333,Graduate
1,30,37,11,1,14.71428571,Dropout
1,18,38,6,0,0.0,Dropout
1,20,19,5,0,11.0,Enrolled
1,20,37,5,0,13.6,Graduate
1,48,34,6,0,12.5,Enrolled
1,19,19,6,0,12.0,Graduate
1,18,3,7,0,14.14444444,Graduate
1,34,37,5,0,11.75,Enrolled
1,19,1,6,0,13.0,Enrolled
1,19,1,6,0,14.5,Graduate
1,35,37,6,0,11.33333333,Graduate
1,33,37,5,0,13.83333333,Graduate
1,21,1,12,0,13.08333333,Enrolled
1,47,37,6,0,11.25,Graduate
1,18,38,6,0,10.66666667,Enrolled
1,21,19,6,0,13.42857143,Graduate
1,21,3,12,0,12.7,Dropout
1,45,1,5,0,13.8,Graduate
1,20,19,6,0,13.33333333,Graduate
0,27,1,6,0,0.0,Dropout
0,46,37,5,0,10.0,Dropout
1,18,1,6,0,11.2,Enrolled
1,19,3,7,0,14.44444444,Graduate
1,24,37,8,0,12.415,Graduate
1,25,1,5,0,12.0,Graduate
1,35,34,5,0,0.0,Dropout
1,20,37,6,0,13.33333333,Graduate
1,18,19,6,0,13.33333333,Graduate
1,19,3,5,0,13.0,Graduate
1,28,37,5,0,0.0,Dropout
0,35,3,6,0,16.0,Dropout
1,19,38,5,0,11.6,Graduate
1,22,3,6,0,15.0,Graduate
1,27,1,7,0,11.68571429,Enrolled
1,26,19,10,0,13.4,Graduate
1,33,37,6,0,14.33333333,Graduate
1,21,19,5,0,11.0,Dropout
1,47,37,6,0,14.0,Dropout
1,35,3,5,0,0.0,Dropout
1,19,38,5,0,12.4,Graduate
1,46,37,19,0,11.38461538,Graduate
1,23,19,7,0,14.35714286,Graduate
1,22,19,13,0,13.0,Graduate
1,36,38,6,0,11.5,Graduate
1,18,37,6,0,11.8,Graduate
0,35,38,6,0,0.0,Dropout
1,18,38,7,0,13.03333333,Graduate
1,19,1,7,2,0.0,Dropout
1,19,2,6,0,10.0,Dropout
1,19,19,6,0,13.5,Graduate
1,44,37,11,0,11.0,Enrolled
1,34,37,5,0,0.0,Enrolled
1,18,3,6,0,10.6,Enrolled
1,45,37,12,0,13.85714286,Enrolled
1,20,1,7,0,15.01111111,Graduate
1,21,41,8,0,11.68,Graduate
1,23,19,6,0,0.0,Dropout
1,18,38,6,0,11.5,Graduate
1,36,37,7,0,0.0,Dropout
0,18,1,6,0,11.0,Dropout
0,21,37,6,0,10.66666667,Dropout
1,18,37,6,0,10.33333333,Dropout
1,19,1,7,0,13.12857143,Graduate
1,19,19,0,0,0.0,Graduate
1,29,34,6,0,11.0,Graduate
1,18,38,7,0,13.18333333,Graduate
1,21,37,6,0,0.0,Dropout
1,36,1,12,0,14.09090909,Graduate
1,21,19,12,0,12.54545455,Graduate
1,20,19,6,0,11.33333333,Enrolled
1,27,5,13,2,14.4,Dropout
1,19,19,5,0,10.25,Graduate
1,19,37,7,0,14.02222222,Graduate
1,20,37,6,0,11.0,Enrolled
0,24,3,6,0,16.0,Dropout
1,18,38,8,0,13.73125,Graduate
0,38,37,6,0,0.0,Dropout
0,31,37,6,0,11.0,Dropout
0,21,1,6,0,14.8,Enrolled
1,18,19,6,0,12.0,Graduate
1,22,19,6,0,13.2,Graduate
1,18,3,8,0,13.10571429,Graduate
1,23,19,6,0,13.42857143,Graduate
1,21,1,6,0,12.57142857,Graduate
1,21,38,7,0,12.16,Enrolled
1,20,3,7,0,13.14285714,Graduate
1,22,19,11,0,13.71428571,Graduate
1,20,19,7,0,12.84285714,Graduate
1,21,1,5,0,0.0,Dropout
1,37,19,7,0,12.3,Graduate
1,18,38,6,0,12.33333333,Dropout
1,28,37,15,1,11.90909091,Dropout
1,18,38,6,0,14.16666667,Graduate
0,27,19,6,0,0.0,Dropout
1,19,1,5,0,10.5,Graduate
1,18,1,7,0,14.0625,Graduate
1,20,1,5,0,12.25,Enrolled
1,19,19,7,0,13.375,Dropout
1,21,19,6,0,12.4,Enrolled
1,21,19,5,0,11.0,Dropout
0,26,6,5,0,0.0,Dropout
1,19,4,0,0,0.0,Graduate
1,19,38,12,0,13.875,Graduate
1,32,19,8,0,12.75714286,Graduate
1,21,38,7,0,0.0,Dropout
1,20,19,5,0,14.57142857,Dropout
1,20,37,6,0,13.0,Graduate
1,18,19,7,0,13.4,Enrolled
1,23,19,6,1,11.875,Graduate
1,29,2,8,0,14.25714286,Graduate
1,30,1,6,0,16.66666667,Dropout
1,20,37,8,1,12.79142857,Graduate
1,18,37,5,0,12.33333333,Enrolled
1,21,3,6,0,12.33333333,Graduate
0,22,37,5,1,10.0,Dropout
1,19,19,7,0,12.96666667,Graduate
1,30,37,5,0,10.4,Enrolled
1,18,1,6,0,13.83333333,Graduate
1,51,37,4,0,0.0,Dropout
1,21,1,7,0,12.5,Enrolled
1,19,1,7,0,15.925,Graduate
1,21,2,5,0,13.2,Graduate
1,19,1,6,0,14.66666667,Graduate
1,18,37,8,0,13.4,Graduate
1,18,19,7,0,11.425,Graduate
1,19,19,6,0,11.0,Graduate
1,21,2,6,0,14.2,Graduate
1,20,38,6,0,14.16666667,Graduate
1,26,19,5,0,14.83333333,Graduate
1,18,38,6,0,12.5,Graduate
1,20,19,5,0,17.71428571,Dropout
1,19,19,6,0,12.4,Graduate
1,18,3,5,0,13.2,Graduate
0,33,37,6,0,0.0,Dropout
1,20,19,7,0,12.89285714,Enrolled
1,21,3,11,0,14.0,Graduate
1,22,19,5,3,13.2,Dropout
1,19,37,10,0,12.0,Graduate
1,18,37,6,0,16.0,Graduate
1,18,3,6,0,12.83333333,Enrolled
1,22,19,6,0,13.5,Enrolled
1,32,37,6,0,11.5,Graduate
0,19,37,5,0,12.0,Enrolled
1,48,37,7,0,11.725,Enrolled
1,38,37,9,0,13.0,Graduate
0,18,1,6,1,11.33333333,Dropout
1,41,37,7,0,13.16666667,Graduate
1,18,1,6,0,13.5,Graduate
1,24,38,8,0,12.16,Graduate
1,19,1,6,0,13.33333333,Graduate
0,24,34,6,0,0.0,Dropout
1,37,37,6,0,12.0,Dropout
1,18,19,5,0,11.0,Enrolled
1,20,19,0,0,0.0,Enrolled
0,18,19,6,0,11.8,Enrolled
1,21,3,9,2,12.25,Enrolled
1,19,19,6,0,12.0,Dropout
1,45,37,6,0,13.66666667,Graduate
1,19,3,6,0,12.2,Dropout
1,21,3,6,0,14.33333333,Graduate
1,18,4,7,0,15.6625,Graduate
1,35,1,5,0,12.85714286,Graduate
1,19,1,8,0,15.0,Graduate
1,19,3,6,0,10.5,Graduate
0,23,19,11,0,13.33333333,Enrolled
1,42,38,6,0,15.28571429,Graduate
1,20,19,6,0,11.33333333,Enrolled
0,18,19,6,0,0.0,Dropout
1,19,19,6,0,12.0,Graduate
1,19,37,6,0,11.71428571,Graduate
1,20,1,5,3,12.66666667,Enrolled
1,25,1,7,0,13.3125,Enrolled
1,28,34,5,0,0.0,Dropout
1,24,38,8,0,14.98571429,Graduate
1,22,1,10,1,11.66666667,Dropout
1,18,38,6,0,12.66666667,Graduate
0,24,37,7,0,12.0,Dropout
1,19,1,6,0,10.4,Enrolled
1,19,19,6,0,11.0,Graduate
0,23,1,6,0,12.25,Dropout
1,26,38,6,0,0.0,Enrolled
1,21,1,5,0,12.66666667,Enrolled
1,24,19,6,0,0.0,Dropout
1,18,19,8,0,13.48571429,Graduate
1,18,1,7,0,15.05555556,Graduate
1,27,37,6,0,12.8,Graduate
1,44,37,6,0,0.0,Dropout
1,21,38,6,0,13.0,Graduate
0,29,37,6,0,11.33333333,Dropout
1,19,11,5,0,13.2,Graduate
1,18,1,6,0,15.4,Graduate
1,20,3,6,0,14.33333333,Enrolled
1,39,19,6,2,13.0,Enrolled
1,40,41,7,0,14.57142857,Graduate
1,28,3,6,0,12.0,Dropout
1,18,1,6,0,12.16666667,Graduate
0,19,19,6,0,14.28571429,Graduate
1,31,34,5,0,0.0,Dropout
1,19,19,6,0,13.0,Dropout
1,30,37,7,1,14.33333333,Graduate
1,17,19,8,0,13.41625,Graduate
1,21,38,6,0,14.0,Graduate
1,21,3,0,0,0.0,Dropout
1,19,1,6,1,11.0,Enrolled
1,22,29,23,3,14.575,Graduate
1,18,3,7,0,12.4,Dropout
1,27,1,5,0,0.0,Dropout
1,19,19,6,0,13.6,Graduate
1,23,2,7,0,13.48333333,Graduate
1,19,3,5,0,12.0,Enrolled
1,19,3,0,0,0.0,Graduate
1,31,34,12,0,13.28571429,Graduate
1,18,19,6,0,13.66666667,Graduate
1,39,19,6,0,13.33333333,Graduate
1,34,37,6,0,16.2,Graduate
1,27,1,5,0,10.33333333,Dropout
0,28,19,6,0,11.0,Dropout
1,18,37,6,0,12.25,Graduate
1,20,37,0,0,0.0,Graduate
1,18,1,6,0,12.2,Graduate
1,18,1,0,0,0.0,Dropout
1,22,19,6,0,0.0,Enrolled
0,18,38,6,0,11.8,Dropout
1,19,1,6,0,13.625,Graduate
1,22,37,5,0,11.0,Enrolled
1,18,1,6,0,10.33333333,Dropout
0,24,19,6,0,11.5,Dropout
1,18,1,7,0,12.76666667,Graduate
1,18,37,7,0,12.66666667,Graduate
